Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,rows2,CueInst,MainLeftText,MainRightText,MainDilemmas,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the one repairman

Do nothing: The repairman will live, the group has a chance of evacuating","The one repairmen lived.

The group ","The one repairmen died.

The 3 repairmen on the track were saved.",3,35, repairmen on the main track,0012:0016,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Repairmen on 
main track: 3","Probability of 
evacuation: 35%","• You are operating the switch at a railroad station when you see an empty, out of control boxcar coming down the main track

• It is moving so fast that anyone it hits will die immediately

• The boxcar is headed towards a tunneled section in which a group of repairmen are working",,,,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,661.8563526000362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663.90925159998,None,space,8.473054000001866,663.90925159998,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the one repairman

Do nothing: The repairman will live, the group has a chance of evacuating","The one repairmen lived.

The group ","The one repairmen died.

The 9 repairmen on the track were saved.",9,65, repairmen on the main track,0012:0016,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Repairmen on 
main track: 9","Probability of 
evacuation: 65%","• You can flip the switch, redirecting the boxcar to a sidetrack on which there is one repairman working

• If you do nothing, the boxcar will continue toward the repairmen in the tunnel on the main track and kill them all

• If you hit the switch, the repairmen on the main track will be spared but the one repairman on the sidetrack will be hit by the boxcar and die",,,,,,,,,,,,,,,,,0,3,3,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.4677788999979,None,space,10.154225700011011,672.4677788999979,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the one repairman

Do nothing: The repairman will live, the group has a chance of evacuating","The one repairmen lived.

The group ","The one repairmen died.

The 2 repairmen on the track were saved.",2,50, repairmen on the main track,0012:0016,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Repairmen on 
main track: 2","Probability of 
evacuation:  50%","• You know that there is a chance an alarm on the main track will be triggered in time to alert the repairmen to evacuate before the boxcar arrives

• There is no such alarm on the sidetrack, and therefore no chance the one workman would evacuate in time",,,,,,,,,,,,,,,,,0,3,3,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.6776459999965,None,space,1.9447729000239633,682.6776459999965,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the one repairman

Do nothing: The repairman will live, the group has a chance of evacuating","The one repairmen lived.

The group ","The one repairmen died.

The 4 repairmen on the track were saved.",4,50, repairmen on the main track,0012:0016,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Repairmen on 
main track: 4","Probability of 
evacuation: 50%","Consider each of the following scenarios and, for each one, determine what course of action you will take.",,,,,,,,,,,,,,,,,0,3,3,3,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.6585820000037,None,space,1.4519327000016347,684.6585820000037,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the one repairman

Do nothing: The repairman will live, the group has a chance of evacuating","The one repairmen lived.

The group ","The one repairmen died.

The 3 repairmen on the track were saved.",3,35, repairmen on the main track,0012:0016,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Repairmen on 
main track: 3","Probability of 
evacuation: 35%","• You are operating the switch at a railroad station when you see an empty, out of control boxcar coming down the main track

• It is moving so fast that anyone it hits will die immediately

• The boxcar is headed towards a tunneled section in which a group of repairmen are working",,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,0,0,0,,,,,,,707.6943214000203,None,,,,,,,688.1706330000306,None,,,,,,,,,,,,,,,,,,,709.7137876999914,None,,,,,,,,,,,,,,,n,7.487534000014421,698.1744960999931,None,705.6927578999894,None,698.1744960999931,None,698.1744960999931,None,698.1744960999931,None,698.1744960999931,None,698.1744960999931,None,698.1744960999931,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the one repairman

Do nothing: The repairman will live, the group has a chance of evacuating","The one repairmen lived.

The group ","The one repairmen died.

The 9 repairmen on the track were saved.",9,65, repairmen on the main track,0012:0016,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Repairmen on 
main track: 9","Probability of 
evacuation: 65%","• You can flip the switch, redirecting the boxcar to a sidetrack on which there is one repairman working

• If you do nothing, the boxcar will continue toward the repairmen in the tunnel on the main track and kill them all

• If you hit the switch, the repairmen on the main track will be spared but the one repairman on the sidetrack will be hit by the boxcar and die",,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,1,1,1,,,,,,,719.9379690000205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,721.9638877999969,None,,,,,,,,,,,,,,,n,2.2086341000394896,715.7093383999891,None,717.9359598000301,None,715.7093383999891,None,715.7093383999891,None,715.7093383999891,None,715.7093383999891,None,715.7093383999891,None,715.7093383999891,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the one repairman

Do nothing: The repairman will live, the group has a chance of evacuating","The one repairmen lived.

The group ","The one repairmen died.

The 2 repairmen on the track were saved.",2,50, repairmen on the main track,0012:0016,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Repairmen on 
main track: 2","Probability of 
evacuation:  50%","• You know that there is a chance an alarm on the main track will be triggered in time to alert the repairmen to evacuate before the boxcar arrives

• There is no such alarm on the sidetrack, and therefore no chance the one workman would evacuate in time",,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,2,2,2,,,,,,,734.3664366999874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,736.3869438000256,None,,,,,,,,,,,,,,,y,4.39638480002759,727.9539924000273,None,732.3651642000186,None,727.9539924000273,None,727.9539924000273,None,727.9539924000273,None,727.9539924000273,None,727.9539924000273,None,727.9539924000273,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the one repairman

Do nothing: The repairman will live, the group has a chance of evacuating","The one repairmen lived.

The group ","The one repairmen died.

The 4 repairmen on the track were saved.",4,50, repairmen on the main track,0012:0016,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Repairmen on 
main track: 4","Probability of 
evacuation: 50%","Consider each of the following scenarios and, for each one, determine what course of action you will take.",,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,3,3,3,,,,,,,748.0445524000097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,750.0633907000301,None,,,,,,,,,,,,,,,n,3.6298876000219025,742.3841554999817,None,746.0433332999819,None,742.3841554999817,None,742.3841554999817,None,742.3841554999817,None,742.3841554999817,None,742.3841554999817,None,742.3841554999817,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,,,,,,,0012:0016,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
",,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,IMMERSE,DISTANCE,,,,"Plan: Throw the grenade onto the patio, killing the one customer there

Do nothing: The one customer will live, the group has a chance of surviving","The one customer on the patio lived.

The group  ","The one customer on the patio died.

The 9 customers in the main dining room were saved.",9,35, customers in the main dining room,0016:0020,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","Customers in main
dining room: 9","Probability customers
will be spared: 35%","• You are working in the kitchen of a café, and see a terrorist throw a grenade next to the main dining room, in which a number of customers are eating

• If nothing is done the grenade will explode and the walls of the main dining room will collapse and kill these customers",,,,,,,,,,,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,754.0498470999883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756.1039705000003,None,space,13.302252599969506,756.1039705000003,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,IMMERSE,DISTANCE,,,,"Plan: Throw the grenade onto the patio, killing the one customer there

Do nothing: The one customer will live, the group has a chance of surviving","The one customer on the patio lived.

The group  ","The one customer on the patio died.

The 7 customers in the main dining room were saved.",7,50, customers in the main dining room,0016:0020,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","Customers in main
dining room: 7","Probability customers
will be spared: 50%","• There is only one other location the grenade could be thrown before it explodes, and that is the patio outside of the main dining room

• There is one customer sitting on the patio, and he would certainly be killed if the grenade is thrown there",,,,,,,,,,,,,,,,,0,4,4,4,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769.4678602000349,None,space,7.490258000034373,769.4678602000349,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,IMMERSE,DISTANCE,,,,"Plan: Throw the grenade onto the patio, killing the one customer there

Do nothing: The one customer will live, the group has a chance of surviving","The one customer on the patio lived.

The group  ","The one customer on the patio died.

The 25 customers in the main dining room were saved.",25,65, customers in the main dining room,0016:0020,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","Customers in main
dining room: 25","Probability customers
will be spared: 65%","• You have time to run out and throw the grenade to the patio, without risking any harm to yourself

• If you do this, the customers in the dining room will live but the one on the patio will die 

• You also know that there is a chance that the dining room walls will withstand the blast of the grenade explosion, and the customers would be spared",,,,,,,,,,,,,,,,,0,4,4,4,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777.0461958000087,None,space,8.039860899967607,777.0461958000087,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,IMMERSE,DISTANCE,,,,"Plan: Throw the grenade onto the patio, killing the one customer there

Do nothing: The one customer will live, the group has a chance of surviving","The one customer on the patio lived.

The group  ","The one customer on the patio died.

The 13 customers in the main dining room were saved.",13,50, customers in the main dining room,0016:0020,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","Customers in main
dining room: 13","Probability customers
will be spared: 50%","Consider each of the following scenarios and, for each one, determine what course of action you will take.",,,,,,,,,,,,,,,,,0,4,4,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785.1237542000017,None,space,2.3782875000033528,785.1237542000017,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,IMMERSE,DISTANCE,,,,"Plan: Throw the grenade onto the patio, killing the one customer there

Do nothing: The one customer will live, the group has a chance of surviving","The one customer on the patio lived.

The group  ","The one customer on the patio died.

The 9 customers in the main dining room were saved.",9,35, customers in the main dining room,0016:0020,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","Customers in main
dining room: 9","Probability customers
will be spared: 35%","• You are working in the kitchen of a café, and see a terrorist throw a grenade next to the main dining room, in which a number of customers are eating

• If nothing is done the grenade will explode and the walls of the main dining room will collapse and kill these customers",,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,0,0,0,,,,,,,811.1967642999953,None,,,,,,,789.5290308999829,None,,,,,,,,,,,,,,,,,,,813.2225921000354,None,,,,,,,,,,,,,,,n,9.588952799967956,799.577146399999,None,809.1960427000304,None,799.577146399999,None,799.577146399999,None,799.577146399999,None,799.577146399999,None,799.577146399999,None,799.577146399999,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,IMMERSE,DISTANCE,,,,"Plan: Throw the grenade onto the patio, killing the one customer there

Do nothing: The one customer will live, the group has a chance of surviving","The one customer on the patio lived.

The group  ","The one customer on the patio died.

The 7 customers in the main dining room were saved.",7,50, customers in the main dining room,0016:0020,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","Customers in main
dining room: 7","Probability customers
will be spared: 50%","• There is only one other location the grenade could be thrown before it explodes, and that is the patio outside of the main dining room

• There is one customer sitting on the patio, and he would certainly be killed if the grenade is thrown there",,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,1,1,1,,,,,,,826.8266121000051,None,,,,,,,,,,,,,,,,,,,,,,,,,,,828.8539319999982,None,,,,,,,,,,,,,,,n,5.5815247999853455,819.2165588000207,None,824.825559000019,None,819.2165588000207,None,819.2165588000207,None,819.2165588000207,None,819.2165588000207,None,819.2165588000207,None,819.2165588000207,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,IMMERSE,DISTANCE,,,,"Plan: Throw the grenade onto the patio, killing the one customer there

Do nothing: The one customer will live, the group has a chance of surviving","The one customer on the patio lived.

The group  ","The one customer on the patio died.

The 25 customers in the main dining room were saved.",25,65, customers in the main dining room,0016:0020,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","Customers in main
dining room: 25","Probability customers
will be spared: 65%","• You have time to run out and throw the grenade to the patio, without risking any harm to yourself

• If you do this, the customers in the dining room will live but the one on the patio will die 

• You also know that there is a chance that the dining room walls will withstand the blast of the grenade explosion, and the customers would be spared",,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,2,2,2,,,,,,,841.0886340999859,None,,,,,,,,,,,,,,,,,,,,,,,,,,,843.1167803999851,None,,,,,,,,,,,,,,,n,4.224197999981698,834.8463179999962,None,839.0875005000271,None,834.8463179999962,None,834.8463179999962,None,834.8463179999962,None,834.8463179999962,None,834.8463179999962,None,834.8463179999962,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,IMMERSE,DISTANCE,,,,"Plan: Throw the grenade onto the patio, killing the one customer there

Do nothing: The one customer will live, the group has a chance of surviving","The one customer on the patio lived.

The group  ","The one customer on the patio died.

The 13 customers in the main dining room were saved.",13,50, customers in the main dining room,0016:0020,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","Customers in main
dining room: 13","Probability customers
will be spared: 50%","Consider each of the following scenarios and, for each one, determine what course of action you will take.",,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,3,3,3,,,,,,,854.1833208000171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,856.2102592000156,None,,,,,,,,,,,,,,,n,3.048376000020653,849.1096702999785,None,852.18182290002,None,849.1096702999785,None,849.1096702999785,None,849.1096702999785,None,849.1096702999785,None,849.1096702999785,None,849.1096702999785,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,IMMERSE,DISTANCE,,,,,,,,,,0016:0020,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ",,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
