Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DE-EMPHASIZE,EMPHASIZE,"• You are operating the switch at a railroad station when you see an empty, out of control boxcar coming down the main track

• It is moving so fast that anyone it hits will die immediately",Repairmen on main track: 6,Probability of evacuation: 35%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 3 repairmen on the sidetrack lived.

The ","The 3 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,50, repairmen on the main track,Repairmen on sidetrack: 3,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,0,0,0,,,,,,,491.079753,None,,,,,,,471.9972916000006,None,,,,,,,,,,,,,,,,,,,,,493.0993261000003,None,,,,,,,,,,,,,,,y,7.022315500000332,482.03865360000054,None,489.0781547000006,None,482.03865360000054,None,482.03865360000054,None,482.03865360000054,None,482.03865360000054,None,482.03865360000054,None,482.03865360000054,None,482.03865360000054,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• The boxcar is headed towards a tunneled section in which a group of repairmen are working

• You can flip the switch, redirecting the boxcar to a sidetrack on which there is a smaller group of repairman working",Repairmen on main track: 7,Probability of evacuation: 65%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 3 repairmen on the sidetrack lived.

The ","The 3 repairmenon the sidetrack died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,Repairmen on sidetrack: 3,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,1,1,1,,,,,,,503.339962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.3597995,None,,,,,,,,,,,,,,,n,2.224689799999396,499.09235719999924,None,501.33821779999926,None,499.09235719999924,None,499.09235719999924,None,499.09235719999924,None,499.09235719999924,None,499.09235719999924,None,499.09235719999924,None,499.09235719999924,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• If you do nothing, the boxcar will continue toward the repairmen in the tunnel on the main track and kill them all

• If you hit the switch, the repairmen on the main track will be spared but the other repairman on the sidetrack will be hit by the boxcar and will die",Repairmen on main track: 5,Probability of evacuation: 65%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 2 repairmen on the sidetrack lived.

The ","The 2 repairmen on the sidetrack died.

The 5 repairmen on the track were saved.",5,65, repairmen on the main track,Repairmen on sidetrack: 2,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,2,2,2,,,,,,,517.9535037000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.9750683000002,None,,,,,,,,,,,,,,,n,4.574829099999988,511.3502482999993,None,515.9502785999994,None,511.3502482999993,None,511.3502482999993,None,511.3502482999993,None,511.3502482999993,None,511.3502482999993,None,511.3502482999993,None,511.3502482999993,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• You know that there is a chance an alarm on the main track will be triggered in time to alert the repairmen to evacuate before the boxcar arrives

• There is no such alarm on the sidetrack, and therefore no chance the workmen on the sidetrack would evacuate in time",Repairmen on main track: 6,Probability of evacuation:  50%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 4 repairmen on the sidetrack lived.

The ","The 4 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,65, repairmen on the main track,Repairmen on sidetrack: 4,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,3,3,3,,,,,,,533.1813172999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.2046205000006,None,,,,,,,,,,,,,,,n,5.186783099999957,525.9702409999991,None,531.1795803999994,None,525.9702409999991,None,525.9702409999991,None,525.9702409999991,None,525.9702409999991,None,525.9702409999991,None,525.9702409999991,None,525.9702409999991,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Repairmen on main track: 7,Probability of evacuation: 50%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 2 repairmen on the sidetrack lived.

The ","The 2 repairmen on the sidetrack died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,Repairmen on sidetrack: 2,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,4,4,4,,,,,,,549.2445523999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.2648210000007,None,,,,,,,,,,,,,,,n,6.021430299999338,541.1995762000006,None,547.2430451,None,541.1995762000006,None,541.1995762000006,None,541.1995762000006,None,541.1995762000006,None,541.1995762000006,None,541.1995762000006,None,541.1995762000006,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,020:025,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• You are working in the kitchen of a café, and see a terrorist throw a grenade next to the main dining room, in which a number of customers are eating

• If nothing is done the grenade will explode and the walls of the main dining room will collapse and kill these customers","Customers in main
dining room: 6","Probability customers
will be spared: 35%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 3 customers on the patio lived.

The ","The 3 customers on the patio died.

The 6 customers in the main dining room were saved.",6,35, customers in the main dining room,Customers on the patio: 3,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,555.249585399999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.305635499999,None,space,5.963350100000753,557.305635499999,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• There is only one other location the grenade could be thrown before it explodes, and that is the patio outside of the main dining room

• There are other customers sitting on the patio, and they would certainly be killed if the grenade is thrown there","Customers in main
dining room: 14","Probability customers
will be spared: 50%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 7 customers on the patio lived.

The ","The 7 customers on the patio died.

The 14 customers in the main dining room were saved.",14,50, customers in the main dining room,Customers on the patio: 7,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.3242298000005,None,space,4.2807190000003175,563.3242298000005,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• You have time to run out and throw the grenade to the patio, without risking any harm to yourself","Customers in main
dining room: 5","Probability customers
will be spared: 35%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 2 customers on the patio lived.

The ","The 2 customers on the patio died.

The 5 customers in the main dining room were saved.",5,50, customers in the main dining room,Customers on the patio: 2,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.6375198000005,None,space,2.479541500000778,567.6375198000005,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• If you do this, the customers in the dining room will live but the customers on the patio will die 

• You also know that there is a chance that the dining room walls will withstand the blast of the grenade explosion, and the customers would be spared","Customers in main
dining room: 7","Probability customers
will be spared: 65%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 2 customers on the patio lived.

The ","The 2 customers on the patio died.

The 7 customers in the main dining room were saved.",7,35, customers in the main dining room,Customers on the patio: 2,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.1800339000001,None,space,8.78492449999976,570.1800339000001,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.","Customers in main
dining room: 9","Probability customers
will be spared: 50%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 7 customers on the patio lived.

The ","The 7 customers on the patio died.

The 9 customers in the main dining room were saved.",9,65, customers in the main dining room,Customers on the patio: 7,025:030,,,,,,,,,,,,,,,,,0,4,4,4,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.9972770000004,None,space,0.9117796000009548,578.9972770000004,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• You are working in the kitchen of a café, and see a terrorist throw a grenade next to the main dining room, in which a number of customers are eating

• If nothing is done the grenade will explode and the walls of the main dining room will collapse and kill these customers","Customers in main
dining room: 6","Probability customers
will be spared: 35%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 3 customers on the patio lived.

The ","The 3 customers on the patio died.

The 6 customers in the main dining room were saved.",6,35, customers in the main dining room,Customers on the patio: 3,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,0,0,0,,,,,,,634.2485761999997,None,,,,,,,581.9384176999993,None,,,,,,,,,,,,,,,,,,,,,636.2695695000002,None,,,,,,,,,,,,,,,n,40.2519857999996,591.9769486999994,None,632.2469548999998,None,591.9769486999994,None,591.9769486999994,None,591.9769486999994,None,591.9769486999994,None,591.9769486999994,None,591.9769486999994,None,591.9769486999994,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• There is only one other location the grenade could be thrown before it explodes, and that is the patio outside of the main dining room

• There are other customers sitting on the patio, and they would certainly be killed if the grenade is thrown there","Customers in main
dining room: 14","Probability customers
will be spared: 50%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 7 customers on the patio lived.

The ","The 7 customers on the patio died.

The 14 customers in the main dining room were saved.",14,50, customers in the main dining room,Customers on the patio: 7,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,1,1,1,,,,,,,669.1941179000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671.2154069999997,None,,,,,,,,,,,,,,,n,24.906166300001132,642.2675486999997,None,667.1925866000001,None,642.2675486999997,None,642.2675486999997,None,642.2675486999997,None,642.2675486999997,None,642.2675486999997,None,642.2675486999997,None,642.2675486999997,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• You have time to run out and throw the grenade to the patio, without risking any harm to yourself","Customers in main
dining room: 5","Probability customers
will be spared: 35%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 2 customers on the patio lived.

The ","The 2 customers on the patio died.

The 5 customers in the main dining room were saved.",5,50, customers in the main dining room,Customers on the patio: 2,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,2,2,2,,,,,,,702.2718475999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.2939342999998,None,,,,,,,,,,,,,,,n,23.030106399999568,677.2146671999999,None,700.2710592999993,None,677.2146671999999,None,677.2146671999999,None,677.2146671999999,None,677.2146671999999,None,677.2146671999999,None,677.2146671999999,None,677.2146671999999,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• If you do this, the customers in the dining room will live but the customers on the patio will die 

• You also know that there is a chance that the dining room walls will withstand the blast of the grenade explosion, and the customers would be spared","Customers in main
dining room: 7","Probability customers
will be spared: 65%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 2 customers on the patio lived.

The ","The 2 customers on the patio died.

The 7 customers in the main dining room were saved.",7,35, customers in the main dining room,Customers on the patio: 2,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,3,3,3,,,,,,,712.9975333000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715.0187458,None,,,,,,,,,,,,,,,n,0.6792961999999534,710.2854771000002,None,710.9958411000007,None,710.2854771000002,None,710.2854771000002,None,710.2854771000002,None,710.2854771000002,None,710.2854771000002,None,710.2854771000002,None,710.2854771000002,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.","Customers in main
dining room: 9","Probability customers
will be spared: 50%","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 7 customers on the patio lived.

The ","The 7 customers on the patio died.

The 9 customers in the main dining room were saved.",9,65, customers in the main dining room,Customers on the patio: 7,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,4,4,4,,,,,,,729.7281679000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731.7521773000008,None,,,,,,,,,,,,,,,n,6.682898499999283,721.0179994999999,None,727.7275546000001,None,721.0179994999999,None,721.0179994999999,None,721.0179994999999,None,721.0179994999999,None,721.0179994999999,None,721.0179994999999,None,721.0179994999999,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,025:030,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• There has been a bomb planted in two buildings, drawing from the same set of wires

• You are a citizen who has found the wires that control the bomb",Workers in the office building: 4,"Probability the Bomb Squad
will arrive in time: 35%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office group has a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 4 workers in the office building were saved.",4,65, workers in the office building,"Family members in 
the home: 3",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,735.7331704999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737.7638396000002,None,space,30.46481429999949,737.7638396000002,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• The red wire is connected to the bomb in a small office building, which will explode if that wire is cut

• The green wire is connected to the bomb in a small home, where a family lives, and will explode if that wire is cut ",Workers in the office building: 7,"Probability the Bomb Squad
will arrive in time: 65%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office group has a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 7 workers in the office building were saved.",7,65, workers in the office building,"Family members in 
the home: 4",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768.2958581999992,None,space,3.2129993999988073,768.2958581999992,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• The time on the bomb is counting down, but you have time to cut one of the wires without risking harm to yourself 

• If you do nothing, the bomb will default to blow up the office building  ",Workers in the office building: 13,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office group has a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 13 workers in the office building were saved.",13,35, workers in the office building,"Family members in 
the home: 4",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.5584682999997,None,space,2.6876656000004004,771.5584682999997,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,• You also know that there is a chance that the Bomb Squad will arrive in time to completely disable the bomb,Workers in the office building: 9,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office group has a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 9 workers in the office building were saved.",9,35, workers in the office building,"Family members in 
the home: 3",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.2794121000006,None,space,0.8934650000010151,774.2794121000006,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Workers in the office building: 6,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office group has a chance of surviving if the Bomb Squad comes ","The 2 family members lived.

The ","The 2 family members in the home died. 

The 6 workers in the office building were saved.",6,50, workers in the office building,"Family members in 
the home: 2",030:035,,,,,,,,,,,,,,,,,0,5,5,5,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775.2102906,None,space,0.730496399999538,775.2102906,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• There has been a bomb planted in two buildings, drawing from the same set of wires

• You are a citizen who has found the wires that control the bomb",Workers in the office building: 4,"Probability the Bomb Squad
will arrive in time: 35%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office group has a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 4 workers in the office building were saved.",4,65, workers in the office building,"Family members in 
the home: 3",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,0,0,0,,,,,,,821.9709149999999,None,,,,,,,777.9676949000004,None,,,,,,,,,,,,,,,,,,,,,823.9914324999991,None,,,,,,,,,,,,,,,n,31.926622099999804,788.0140974999995,None,819.9693176000001,None,788.0140974999995,None,788.0140974999995,None,788.0140974999995,None,788.0140974999995,None,788.0140974999995,None,788.0140974999995,None,788.0140974999995,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• The red wire is connected to the bomb in a small office building, which will explode if that wire is cut

• The green wire is connected to the bomb in a small home, where a family lives, and will explode if that wire is cut ",Workers in the office building: 7,"Probability the Bomb Squad
will arrive in time: 65%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office group has a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 7 workers in the office building were saved.",7,65, workers in the office building,"Family members in 
the home: 4",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,1,1,1,,,,,,,839.3018293999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841.3191979999992,None,,,,,,,,,,,,,,,n,7.288278199999695,829.9965152999994,None,837.3002221000006,None,829.9965152999994,None,829.9965152999994,None,829.9965152999994,None,829.9965152999994,None,829.9965152999994,None,829.9965152999994,None,829.9965152999994,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• The time on the bomb is counting down, but you have time to cut one of the wires without risking harm to yourself 

• If you do nothing, the bomb will default to blow up the office building  ",Workers in the office building: 13,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office group has a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 13 workers in the office building were saved.",13,35, workers in the office building,"Family members in 
the home: 4",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,2,2,2,,,,,,,854.0807616000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856.1022486000002,None,,,,,,,,,,,,,,,n,4.73449729999993,847.3184990999998,None,852.0790529999995,None,847.3184990999998,None,847.3184990999998,None,847.3184990999998,None,847.3184990999998,None,847.3184990999998,None,847.3184990999998,None,847.3184990999998,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,• You also know that there is a chance that the Bomb Squad will arrive in time to completely disable the bomb,Workers in the office building: 9,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office group has a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 9 workers in the office building were saved.",9,35, workers in the office building,"Family members in 
the home: 3",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,3,3,3,,,,,,,866.5745358000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868.5924527999996,None,,,,,,,,,,,,,,,n,2.4551527999992686,862.0940205999996,None,864.5727771999991,None,862.0940205999996,None,862.0940205999996,None,862.0940205999996,None,862.0940205999996,None,862.0940205999996,None,862.0940205999996,None,862.0940205999996,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Workers in the office building: 6,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office group has a chance of surviving if the Bomb Squad comes ","The 2 family members lived.

The ","The 2 family members in the home died. 

The 6 workers in the office building were saved.",6,50, workers in the office building,"Family members in 
the home: 2",030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,4,4,4,,,,,,,879.4526759,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881.4803073999992,None,,,,,,,,,,,,,,,n,2.8335304999982327,874.595089299999,None,877.4514039000005,None,874.595089299999,None,874.595089299999,None,874.595089299999,None,874.595089299999,None,874.595089299999,None,874.595089299999,None,874.595089299999,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,030:035,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"•You are a worker on a large submarine

• The upper section of the submarine has a hole in it that is gradually letting water in","Passengers in the
submarine: 8","Probability the passengers will 
break open a window: 35%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 4 crewmembers lived.

The ","The 4 crewmembers died.

The group of 8 passengers were saved.",8,35, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,885.4572408999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887.5020468000002,None,space,5.3347833000007086,887.5020468000002,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
